MARCA,CATEGORÍA,SUBCATEGORIA,PRODUCTO,TXT PRINCIPAL,PDF,2 FOTOS EN USO,PNG TRANSPARENTE,TXT descriptivo ,,TEXTO ARGUMENTOS DE VALOR,CARACTERISTICAS,Palabras clave,Trabajos Ideales,GRUPO,OBSERVACIONES imagenes,IMAGEN secundaria
,,TRACTORES,6105E,Favor de revisar carpeta en drive completo vienen mezclados productos,,,,,6105EH,"Con la Serie 6EH cuidamos que tus cultivos estén en las mejores condiciones, evitando daño durante la operación. El Tractor 6EH cuenta con un alto despeje superior a 75 centímetros con una gran variedad de rodados para el cuidado del cultivo. Compatibles con sistema de auto guiado John Deere, el cual te permite enfocar la atención en la calidad del trabajo durante la aplicación.","Compatible con transmisión PowrReverser™ sincronizada con 12 velocidades de avance y 12 de reversa (12F/12R) con embrague en baño de aceite, TDF electrohidráulica, 30 km/h, con transmisión lenta y transmisión sincronizada con 24 velocidades de avance y 24 de reversa (24F/24R) con embrague en baño de aceite, TDF electrohidráulica, 30 km/h
Ancho de trocha ajustable que se adapta a sus necesidades
Alto despeje y variedad de rodados
Con radiadores deslizables que facilitan su mantenimiento",,,,FALTA FOTO DE PRODUCTO PNG TRANSPARENTE,
,,TRACTORES,6105J,SI,SI,SI,SI,,6105J,"Tractor de 105 hp
Embrague permaclutch ajustable para compensar el desgaste para mantener la potencia máxima
Excelente productividad 
Cuenta con chasis modular diseñado para una mejor ergonomía y comodidad del operador
Caja de valvulas de lujo o centro cerrado","Motor John Deere PowerTech™ 4 cilindros de Aspiración Turbocargada
Transmisión Powrquad  16F/16R PowrReverser™",,,,✓,
,,TRACTORES,6120E,,,,,,6120E,"Tractor de 120hp a motor
Accionamiento electrohidráulico con botón
Toma de fuerza de 540/1000 rpm","Motor John Deere PowerTech™ 4 cilindros de Aspiración Turbocargada
Transmisión opción 12F/12R PowrReverser™",,,,✓,
,,TRACTORES,6120EH,SI,SI,SI,X,,6120EH,"Tractor de 120hp a motor de alto despeje
Accionamiento electrohidráulico con botón
Toma de fuerza de 540/1000 rpm
Ofrece 77.6 cm de despeje entre el eje y el suelo para proteger el cultivo","Motor John Deere PowerTech™ 4 cilindros de Aspiración Turbocargada
Transmisión opción 12F/12R PowrReverser™",,,,✓,
,,TRACTORES,6125E,SI,SI,SI,SI,,6125E,"Tractor de 125hp a motor
Aumento de torque del 30% con relación a la competencia
Accionamiento electrohidráulico con botón
Toma de fuerza de 540/1000 rpm
Capacidad de elevante de 3 toneladas
Con asientos completamente ajustables
Sistema hidráulico de centro abierto
Embrague en baño en aceite para mayor rendimiento y vida util","Motor John Deere PowerTech™ 6 cilindros de Aspiración Turbocargada
Transmisión opción 12F/12R PowrReverser™",,,,✓,
,,TRACTORES,6155J,SI,SI,SI,X,,6155J,"Tractor de 155hp a motor
Embrague permaclutch ajustable para compensar el desgaste en los discos con duración de hasta 6,000 horas
Cuenta con chasis modular diseñado para una mejor ergonomía y comodidad del operador
Sistema de refrigración de doble circuito
Con asiento estandar con suspensión hidráulica para completa comodidad
Configuración con opción a rodado dual","Motor John Deere PowerTech™ 6 cilindros de Aspiración Turbocargada
Transmisión opción SyncroPlus 12F/4R y PowrQuad™ 16F/16R",,,,✓,
,,TRACTORES,6195M,SI,SI,SI,SI,,6195M,"Tractor de 195hp a motor con cabina
Eje delantero con suspensión TLS
Toma de fuerza de 540/1000 rpm
Capacidad de tanque 390lts
Con asiento estandar con suspensión hidráulica para completa comodidad
Paquete de luces de fábrica con visibilidad de 360 grados de alto alcance","Motor John Deere PowerTech™ 6 cilindros de Turbocompresor de geometría fija
Transmisión opción 20F/20R CommandQuad™ Plus",,,,✓,
,,TRACTORES,6403,SI,SI,SI,SI,,6403,"Tractor de 109hp a motor
Con opción a rodado alto o angosto
Moderno diseño con mejor visibilidad y de fácil mantenimiento. 
Mejora la visibilidad en un 33% en relación a la competencia
Facil mantenimiento de nivel de aceite, filtro de aceite sin tener que abrir el capo
Capo de abertura total para facil acceso al motor
El sistema de refrigeración deslizante permite una facil limpieza diaria","Motor John Deere PowerTech™ 4 cilindros de Aspiración Turbocargada
Transmisión SyncShuttle™ 12F/4R
Potencia nominal de la TDF 96 hp",,,,✓,
,,TRACTORES,6603,SI,SI,SI,SI,,6603,"Tractor de 124hp a motor
Tractor mecánico completamente
Motores mecánicos de facil mantenimiento
Con opción a rodado alto o angosto
Moderno diseño con mejor visibilidad y de fácil mantenimiento. 
Mejora la visibilidad en un 33% en relación a la competencia
Facil mantenimiento de nivel de aceite, filtro de aceite sin tener que abrir el capo
Capo de abertura total para facil acceso al motor
El sistema de refrigeración deslizante permite una facil limpieza diaria
Toma de fuerza de 540/1000 rpm
","Motor John Deere PowerTech™ 6 cilindros de Aspiración Turbocargada
Transmisión SyncShuttle™ 12F/4R
",,,,✓,
,,,,,,,,,,,,,,,,
,MUEVETIERRAS,ARTICULADOS,410P ,SI,SI,SI,SI,SI ,410P,"Por su gran desempeño en caminos irregulares, los camiones articulados de volteo fuera de carretera John Deere son la mejor opción, con sus diferentes modelos y capacidades, nos hacen una de las marcas con mayor variedad en el mercado. Su tracción 6x6, confiablidad, cabina ergonómica y alta tecnología en la transmisión, logran un aprovechamiento integro del equipo en trabajos con altas exigencias en el traslado de materiales en largas distancias dentro de un proyecto.","Potencia neta: 329 kW (441 hp) a 1700 r. p. m.
Carga útil permitida 37 266 kg (82 157 lb)
Capacidad c/carga colmada: 22,9 m3 30,0 yd³","Eficiencia
Seguridad","Canteras
Mineria",,✓,
,,ARTICULADOS,460P,SI,SI,SI,SI,SI ,460P,"Por su gran desempeño en caminos irregulares, los camiones articulados de volteo fuera de carretera John Deere son la mejor opción, con sus diferentes modelos y capacidades, nos hacen una de las marcas con mayor variedad en el mercado. Su tracción 6x6, confiablidad, cabina ergonómica y alta tecnología en la transmisión, logran un aprovechamiento integro del equipo en trabajos con altas exigencias en el traslado de materiales en largas distancias dentro de un proyecto.","Potencia neta: 359 kW (481 hp) a 1700 r. p. m.
Carga útil permitida 41 820 kg (92 197 lb)
Capacidad c/carga colmada: 25,2 m3 (32,9 yd³)","Eficiencia
Seguridad","Canteras
Mineria",,✓,
,,BULL DOZER ,650P ,SI,SI,SI,SI,SI ,650P,"Únicos en su especie, los bulldozers John Deere se caracterizan por ser agiles y potentes, con su transmisión hidrostática, sin convertidores de par ni cajas de engranes, lo convierten en el único bulldozer capaz de girar 360 grados en su propio eje con su contrarotación, su hidráulica directo a los motores de propulsión consigue entregar potencia directa a las orugas. Su alta tecnología en transmisión le permite aumentar o disminuir la velocidad según la carga en la hoja sin necesidad de hacerlo manualmente, aprovechando al máximo cada litro de combustible.","Potencia Neta: 78 kW (104 hp) a 1900 r. p. m.
Peso de Funcionamiento: 9600 a 10 198 kg (21 165 a 22 484 lb)
Cadena Sobre el Suelo: 2626 mm (103 in)","Agilidad
Fuerza","Desmonte
Urbanización",,✓,
,,BULL DOZER ,700J ,SI ,SI ,SI ,SI ,SI ,700J,"Únicos en su especie, los bulldozers John Deere se caracterizan por ser agiles y potentes, con su transmisión hidrostática, sin convertidores de par ni cajas de engranes, lo convierten en el único bulldozer capaz de girar 360 grados en su propio eje con su contrarotación, su hidráulica directo a los motores de propulsión consigue entregar potencia directa a las orugas. Su alta tecnología en transmisión le permite aumentar o disminuir la velocidad según la carga en la hoja sin necesidad de hacerlo manualmente, aprovechando al máximo cada litro de combustible.","Potencia neta del motor: 93 kW (125 hp) a 1,800 r/min
Oruga sobre el Suelo: 2,616 mm (103 in)
Peso operativo: de 12,303 a 12,832 kg (de 27,124 a 28,290 lb)
Rango del Ancho de la Hoja: de 3,200 a 3,658 mm (de 126  a 144 in)","Agilidad
Fuerza","Desmonte
Urbanización",,✓,
,,BULL DOZER ,750J ,SI ,SI ,SI ,SI ,SI ,750J,"Únicos en su especie, los bulldozers John Deere se caracterizan por ser agiles y potentes, con su transmisión hidrostática, sin convertidores de par ni cajas de engranes, lo convierten en el único bulldozer capaz de girar 360 grados en su propio eje con su contrarotación, su hidráulica directo a los motores de propulsión consigue entregar potencia directa a las orugas. Su alta tecnología en transmisión le permite aumentar o disminuir la velocidad según la carga en la hoja sin necesidad de hacerlo manualmente, aprovechando al máximo cada litro de combustible.","Potencia neta del motor: 116 kW (155 hp) a 2,100 r/min
Oruga sobre el Suelo: 3,073 mm (121 in)
Peso operativo: de 15,599 a 16,655 kg (de 34,395 lb a 36,725 lb)
Rango del Ancho de la Hoja: de 3,295 a 3,962 mm (de 130 a 156 in)","Agilidad
Fuerza","Desmonte
Urbanización",,✓,
,,BULL DOZER ,850 J,SI ,SI ,SI ,SI ,SI ,850J,"Únicos en su especie, los bulldozers John Deere se caracterizan por ser agiles y potentes, con su transmisión hidrostática, sin convertidores de par ni cajas de engranes, lo convierten en el único bulldozer capaz de girar 360 grados en su propio eje con su contrarotación, su hidráulica directo a los motores de propulsión consigue entregar potencia directa a las orugas. Su alta tecnología en transmisión le permite aumentar o disminuir la velocidad según la carga en la hoja sin necesidad de hacerlo manualmente, aprovechando al máximo cada litro de combustible.","Potencia neta del motor: 153 kW (205 HP) a 1,800 r/min
Oruga sobre el Suelo: de 2,769 a 3,284 mm (de 109 a 129 in)
Peso operativo: de 18,219 a 20,146 kg(de 40,165 a 44,414 lb)
Rango del Ancho de la Hoja: de 3,251 a 4,267 mm (de 128 a 168in)","Agilidad
Fuerza","Desmontes
Urbanización
Rellenos sanitarios ",,✓,
,,BULL DOZER ,1050 P,SI ,SI ,SI ,SI ,SI ,1050P,"Únicos en su especie, los bulldozers John Deere se caracterizan por ser agiles y potentes, con su transmisión hidrostática, sin convertidores de par ni cajas de engranes, lo convierten en el único bulldozer capaz de girar 360 grados en su propio eje con su contrarotación, su hidráulica directo a los motores de propulsión consigue entregar potencia directa a las orugas. Su alta tecnología en transmisión le permite aumentar o disminuir la velocidad según la carga en la hoja sin necesidad de hacerlo manualmente, aprovechando al máximo cada litro de combustible.","Potencia Neta: 264 kW (354 hp) at 1700 r. p. m.
Peso de Funcionamiento: 42 640 a 42 900 kg (94 000 a 94 580 lb.)
Cadena Sobre el Suelo: 3419 mm (134.6 in.)","Agilidad
Fuerza","Canteras
Mineria
Rellenos sanitarios",,✓,
,,CARGADORES FRONTALES,444G ,SI ,SI ,SI ,SI ,SI ,444G,"Por su gran prestación en los diferentes segmentos para traslado de materiales, ya sean agropecuarios, industriales, mineros o de construcción, los cargadores John Deere ofrecen movilidad, capacidad, fuerza, bajo consumo de combustible y la mejor entrega de potencia gracias a sus múltiples configuraciones de cucharones así como de tren motriz. En su versión High Lift permite cargar a una mayor altura y con mejor precisión al centro. Sus pernos y bujes sin engrase NEVER GREASE, le permiten estar siempre preparado para tareas en condiciones extremas con su enfriamiento de diferenciales.","Potencia Neta: 92 kW (124 hp) at 2100 rpm
Peso Operativo: 11 289-11 941 kg (24 887-26 325 lb)
Capacidad del Cucharón: 1,9-2,1 m3 (2,5-2,75 cu. yd.)",,"Agricultura
Ganaderia
Materialistas",,✓,
,,CARGADORES FRONTALES,524K,SI ,SI ,SI,SI ,,524K,"Por su gran prestación en los diferentes segmentos para traslado de materiales, ya sean agropecuarios, industriales, mineros o de construcción, los cargadores John Deere ofrecen movilidad, capacidad, fuerza, bajo consumo de combustible y la mejor entrega de potencia gracias a sus múltiples configuraciones de cucharones así como de tren motriz. En su versión High Lift permite cargar a una mayor altura y con mejor precisión al centro. Sus pernos y bujes sin engrase NEVER GREASE, le permiten estar siempre preparado para tareas en condiciones extremas con su enfriamiento de diferenciales.","Potencia neta del motor: 106 kW (142 CV)Peso operativo:12 622 kg (27 827 lb)
Capacidad del Cucharón:1,9-2,1 m³ (2,5-2,75 cu yd)
Peso operativo:12 622 kg (27 827 lb)",,"Agricultura
Ganaderia
Materialistas",,✓,
,,CARGADORES FRONTALES,544G,,,SI,SI,,544G,"Por su gran prestación en los diferentes segmentos para traslado de materiales, ya sean agropecuarios, industriales, mineros o de construcción, los cargadores John Deere ofrecen movilidad, capacidad, fuerza, bajo consumo de combustible y la mejor entrega de potencia gracias a sus múltiples configuraciones de cucharones así como de tren motriz. En su versión High Lift permite cargar a una mayor altura y con mejor precisión al centro. Sus pernos y bujes sin engrase NEVER GREASE, le permiten estar siempre preparado para tareas en condiciones extremas con su enfriamiento de diferenciales.","Potencia Neta: 125 kW (168 hp) a 1800 rpm
Peso en Orden de Trabajo: 12 993–13 556 kg (28 646–29 886 lb.)
Capacidad del Cucharón: 2,1–2,3 m3 (2,75–3,00 cu. yd.)",,"Agricultura
Ganaderia
Materialistas",,✓,
,,CARGADORES FRONTALES,544P,,,,,,544P,"Por su gran prestación en los diferentes segmentos para traslado de materiales, ya sean agropecuarios, industriales, mineros o de construcción, los cargadores John Deere ofrecen movilidad, capacidad, fuerza, bajo consumo de combustible y la mejor entrega de potencia gracias a sus múltiples configuraciones de cucharones así como de tren motriz. En su versión High Lift permite cargar a una mayor altura y con mejor precisión al centro. Sus pernos y bujes sin engrase NEVER GREASE, le permiten estar siempre preparado para tareas en condiciones extremas con su enfriamiento de diferenciales.","Potencia Neta: 122 kW (163 hp) a 1900 r. p. m.
Peso de Funcionamiento: 12 954 kg (28 558 lb)
Capacidad de la Cuchara: 2,1–2,3 m³ (2,75–3,00 yd³)",,"Agricultura
Ganaderia
Materialistas",,✓,
,,CARGADORES FRONTALES,624P,SI ,SI ,SI ,,,624P,"Por su gran prestación en los diferentes segmentos para traslado de materiales, ya sean agropecuarios, industriales, mineros o de construcción, los cargadores John Deere ofrecen movilidad, capacidad, fuerza, bajo consumo de combustible y la mejor entrega de potencia gracias a sus múltiples configuraciones de cucharones así como de tren motriz. En su versión High Lift permite cargar a una mayor altura y con mejor precisión al centro. Sus pernos y bujes sin engrase NEVER GREASE, le permiten estar siempre preparado para tareas en condiciones extremas con su enfriamiento de diferenciales.","Potencia Neta: 141 kW (189 hp) a 1800 r. p. m.
Peso de Funcionamiento: 15 450 kg (34 060 lb)
Capacidad de la Cuchara: 2,3–5,4 m³ (3,0–7,1 yd³)",,"Canteras
Materialistas",,✓,
,,CARGADORES FRONTALES,644G,SI ,SI ,SI ,SI ,SI ,644G,"Por su gran prestación en los diferentes segmentos para traslado de materiales, ya sean agropecuarios, industriales, mineros o de construcción, los cargadores John Deere ofrecen movilidad, capacidad, fuerza, bajo consumo de combustible y la mejor entrega de potencia gracias a sus múltiples configuraciones de cucharones así como de tren motriz. En su versión High Lift permite cargar a una mayor altura y con mejor precisión al centro. Sus pernos y bujes sin engrase NEVER GREASE, le permiten estar siempre preparado para tareas en condiciones extremas con su enfriamiento de diferenciales.","Potencia Neta: 185 kW (248 hp) a 1800 rpm
Peso en Orden de Trabajo: 17 095–17 314 kg (37 688–38 170 lb.)
Capacidad del Cucharón: 3,10–3,25 m³ (4,00–4,25 yd³)",,"Canteras
CEDIS de materiales
Obras civiles",,✓,
,,CARGADORES FRONTALES,644P,SI ,SI ,SI ,,SI ,644P,"Por su gran prestación en los diferentes segmentos para traslado de materiales, ya sean agropecuarios, industriales, mineros o de construcción, los cargadores John Deere ofrecen movilidad, capacidad, fuerza, bajo consumo de combustible y la mejor entrega de potencia gracias a sus múltiples configuraciones de cucharones así como de tren motriz. En su versión High Lift permite cargar a una mayor altura y con mejor precisión al centro. Sus pernos y bujes sin engrase NEVER GREASE, le permiten estar siempre preparado para tareas en condiciones extremas con su enfriamiento de diferenciales.","Potencia Neta: 167 kW (224 hp) a 1700 r. p. m.
Peso de Funcionamiento: 18 283 kg (40 308 lb)
Capacidad de la Cuchara: 2,5–3,7 m³ (3,2–4,9 yd³)",,"Canteras
CEDIS de materiales
Obras civiles",,✓,
,,CARGADORES FRONTALES,724P,SI ,SI ,SI ,,SI ,724P,"Por su gran prestación en los diferentes segmentos para traslado de materiales, ya sean agropecuarios, industriales, mineros o de construcción, los cargadores John Deere ofrecen movilidad, capacidad, fuerza, bajo consumo de combustible y la mejor entrega de potencia gracias a sus múltiples configuraciones de cucharones así como de tren motriz. En su versión High Lift permite cargar a una mayor altura y con mejor precisión al centro. Sus pernos y bujes sin engrase NEVER GREASE, le permiten estar siempre preparado para tareas en condiciones extremas con su enfriamiento de diferenciales.","Potencia Neta: 197 kW (264 hp) a 1800 r. p. m.
Peso de Funcionamiento: 19 123 kg (42 159 lb)
Capacidad de la Cuchara: 2,5–4,2 m³ (3,2–5,5 yd³)",,"Canteras
CEDIS de materiales
Obras civiles",,✓,
,,CARGADORES FRONTALES,744P,SI ,SI ,SI ,SI ,SI ,744P,"Por su gran prestación en los diferentes segmentos para traslado de materiales, ya sean agropecuarios, industriales, mineros o de construcción, los cargadores John Deere ofrecen movilidad, capacidad, fuerza, bajo consumo de combustible y la mejor entrega de potencia gracias a sus múltiples configuraciones de cucharones así como de tren motriz. En su versión High Lift permite cargar a una mayor altura y con mejor precisión al centro. Sus pernos y bujes sin engrase NEVER GREASE, le permiten estar siempre preparado para tareas en condiciones extremas con su enfriamiento de diferenciales.","Potencia Neta: 236 kW (316 hp) a 1500 rpm
Peso de Operativo: 24 907 a 26 630 kg (54 920 a 58 709 lb)
Capacidad del Cucharón: 3,8 a 4,5 m3 (5,0 a 5,85 yd3)",,"Canteras
CEDIS de materiales
Obras civiles
Rellenos sanitarios",,✓,
,,CARGADORES FRONTALES,824P,,,,,,824P,"Por su gran prestación en los diferentes segmentos para traslado de materiales, ya sean agropecuarios, industriales, mineros o de construcción, los cargadores John Deere ofrecen movilidad, capacidad, fuerza, bajo consumo de combustible y la mejor entrega de potencia gracias a sus múltiples configuraciones de cucharones así como de tren motriz. En su versión High Lift permite cargar a una mayor altura y con mejor precisión al centro. Sus pernos y bujes sin engrase NEVER GREASE, le permiten estar siempre preparado para tareas en condiciones extremas con su enfriamiento de diferenciales.","Potencia Neta: 256 kW (343 hp) a 1600 rpm
Peso de Funcionamiento: 26 460 a 28 101 kg (58 334 a 61 952 lb)
Capacidad del Cucharón: 3,8 a 5,2 m3 (5,0 a 6,75 yd³)",,"Canteras
Minería
Obras civiles
Rellenos sanitarios",,✓,
,,CARGADORES FRONTALES,844P,,,,SI ,,844P,"Por su gran prestación en los diferentes segmentos para traslado de materiales, ya sean agropecuarios, industriales, mineros o de construcción, los cargadores John Deere ofrecen movilidad, capacidad, fuerza, bajo consumo de combustible y la mejor entrega de potencia gracias a sus múltiples configuraciones de cucharones así como de tren motriz. En su versión High Lift permite cargar a una mayor altura y con mejor precisión al centro. Sus pernos y bujes sin engrase NEVER GREASE, le permiten estar siempre preparado para tareas en condiciones extremas con su enfriamiento de diferenciales.","Potencia Neta: 311 kW (417 hp) a 1400 rpm
Peso Operativo: 32 439–33 851 kg (71,516–74,629 lb.)
Capacidad del Cucharón: 4,8-6,1 m3 (6,3 a 8,0 yd³)",,"Canteras
Minería
Obras civiles
Rellenos sanitarios",,✓,
,,EXCAVADORAS,35P,SI ,SI ,SI ,SI ,SI ,35P,"Fuerza, versatilidad y rapidez, son características de las excavadoras John Deere. Por su amplia gama en brazos y cucharones en diferentes configuraciones y gracias a su incomparable sistema hidráulico, las excavadoras John Deere se caracterizan por reunir estas virtudes, aplicación en diferentes tareas y ciclos cortos, permiten realizar cualquier tarea y culminar los proyectos en menor tiempo, mejorando los costos significativamente. Con una amplia gama de capacidades, desde 1.5 y hasta 45 toneladas de peso máquina, nos permite cumplir con casi cualquier tarea de excavación y manipulación de materiales.","Potencia Neta: 17,4 kW (23,3 hp)
Profundidad Máxima de Excavación: 3,06 m (10 ft 0 in)
Peso de funcionamiento: 3690 kg (8135 lb)","Rapidez
Eficiencia","Urbanización
Edificación",,✓,
,,EXCAVADORAS,130P,SI ,SI ,SI ,SI ,SI ,130P,"Fuerza, versatilidad y rapidez, son características de las excavadoras John Deere. Por su amplia gama en brazos y cucharones en diferentes configuraciones y gracias a su incomparable sistema hidráulico, las excavadoras John Deere se caracterizan por reunir estas virtudes, aplicación en diferentes tareas y ciclos cortos, permiten realizar cualquier tarea y culminar los proyectos en menor tiempo, mejorando los costos significativamente. Con una amplia gama de capacidades, desde 1.5 y hasta 45 toneladas de peso máquina, nos permite cumplir con casi cualquier tarea de excavación y manipulación de materiales.","Potencia Neta: 69 kW (93 hp)
Profundidad de Excavación Máxima: 5.57 m (18 ft 3 in)
Peso Operativo: 13 539–13 984 kg (29 822–30 802 lb)","Rapidez
Eficiencia","Urbanización
Edificación",,✓,
,,EXCAVADORAS,160P,SI ,SI ,SI ,SI ,SI ,160P,"Fuerza, versatilidad y rapidez, son características de las excavadoras John Deere. Por su amplia gama en brazos y cucharones en diferentes configuraciones y gracias a su incomparable sistema hidráulico, las excavadoras John Deere se caracterizan por reunir estas virtudes, aplicación en diferentes tareas y ciclos cortos, permiten realizar cualquier tarea y culminar los proyectos en menor tiempo, mejorando los costos significativamente. Con una amplia gama de capacidades, desde 1.5 y hasta 45 toneladas de peso máquina, nos permite cumplir con casi cualquier tarea de excavación y manipulación de materiales.","Potencia Neta: 90 kW (121 hp)
Profundidad de Excavación Máxima: 5.98 m (19 ft 7 in)
Peso de Funcionamiento: 17 717 kg (39 024 lb)","Rapidez
Eficiencia","Urbanización
Edificación",,✓,
,,EXCAVADORAS,200G,SI ,SI ,SI ,SI ,SI ,200G,"Fuerza, versatilidad y rapidez, son características de las excavadoras John Deere. Por su amplia gama en brazos y cucharones en diferentes configuraciones y gracias a su incomparable sistema hidráulico, las excavadoras John Deere se caracterizan por reunir estas virtudes, aplicación en diferentes tareas y ciclos cortos, permiten realizar cualquier tarea y culminar los proyectos en menor tiempo, mejorando los costos significativamente. Con una amplia gama de capacidades, desde 1.5 y hasta 45 toneladas de peso máquina, nos permite cumplir con casi cualquier tarea de excavación y manipulación de materiales.","Potencia Neta: 95 kW (130 hp)
Profundidad de Excavación Máxima: 6.57 m (21 ft 7 in)
Peso de Funcionamiento: 19 735 kg (43 469 lb)","Ahorro
Eficiencia","Urbanización
Edificación
Obras civiles",,✓,
,,EXCAVADORAS,210P,SI ,SI ,SI ,SI ,SI ,210P,"Fuerza, versatilidad y rapidez, son características de las excavadoras John Deere. Por su amplia gama en brazos y cucharones en diferentes configuraciones y gracias a su incomparable sistema hidráulico, las excavadoras John Deere se caracterizan por reunir estas virtudes, aplicación en diferentes tareas y ciclos cortos, permiten realizar cualquier tarea y culminar los proyectos en menor tiempo, mejorando los costos significativamente. Con una amplia gama de capacidades, desde 1.5 y hasta 45 toneladas de peso máquina, nos permite cumplir con casi cualquier tarea de excavación y manipulación de materiales.","Potencia Neta: 119 kW (159 hp)
Profundidad de Excavación Máxima: 6,67 m (21 ft 11 in)
Peso de Funcionamiento: 23 560 kg (51 940 lb)","Rapidez
Fuerza","Urbanización
Obras civiles
Canteras",,✓,
,,EXCAVADORAS,250P,SI ,SI ,SI ,SI ,SI ,250P,"Fuerza, versatilidad y rapidez, son características de las excavadoras John Deere. Por su amplia gama en brazos y cucharones en diferentes configuraciones y gracias a su incomparable sistema hidráulico, las excavadoras John Deere se caracterizan por reunir estas virtudes, aplicación en diferentes tareas y ciclos cortos, permiten realizar cualquier tarea y culminar los proyectos en menor tiempo, mejorando los costos significativamente. Con una amplia gama de capacidades, desde 1.5 y hasta 45 toneladas de peso máquina, nos permite cumplir con casi cualquier tarea de excavación y manipulación de materiales.","Potencia Neta: 140 kW (188 hp)
Profundidad de Excavación Máxima, 7,61 m (25 ft 0 in)
Peso de Funcionamiento: 27 500 kg (60 600 lb)","Rapidez
Fuerza","Urbanización
Obras civiles
Canteras",,✓,
,,EXCAVADORAS,350P,SI ,SI ,SI ,SI ,SI ,350P,"Fuerza, versatilidad y rapidez, son características de las excavadoras John Deere. Por su amplia gama en brazos y cucharones en diferentes configuraciones y gracias a su incomparable sistema hidráulico, las excavadoras John Deere se caracterizan por reunir estas virtudes, aplicación en diferentes tareas y ciclos cortos, permiten realizar cualquier tarea y culminar los proyectos en menor tiempo, mejorando los costos significativamente. Con una amplia gama de capacidades, desde 1.5 y hasta 45 toneladas de peso máquina, nos permite cumplir con casi cualquier tarea de excavación y manipulación de materiales.","Potencia Neta: 202 kW (271 hp) 
Profundidad de Excavación Máxima: 8,18 m (26 ft 10 in)
Peso de Funcionamiento: 36 734 kg (80 985 lb)","Rapidez
Fuerza","Canteras
Gasoductos
Urbanización
Obras civiles",,✓,
,,EXCAVADORAS,470G,SI,SI,SI,SI ,SI ,470G,"Fuerza, versatilidad y rapidez, son características de las excavadoras John Deere. Por su amplia gama en brazos y cucharones en diferentes configuraciones y gracias a su incomparable sistema hidráulico, las excavadoras John Deere se caracterizan por reunir estas virtudes, aplicación en diferentes tareas y ciclos cortos, permiten realizar cualquier tarea y culminar los proyectos en menor tiempo, mejorando los costos significativamente. Con una amplia gama de capacidades, desde 1.5 y hasta 45 toneladas de peso máquina, nos permite cumplir con casi cualquier tarea de excavación y manipulación de materiales.","Potencia Neta: 257 kW (345 hp) · Profundidad máx. de Excavación: 6,32 m (20 ft 9 in) · Peso Operativo: 51 218 kg (112,916 lb.).","Rapidez
Fuerza","Canteras
Gasoductos
Obras civiles",,✓,
,,MINI CARGADORES RUEDAS,318G,SI ,SI ,SI ,SI ,SÍ ,318G,"La pluma de levantamiento vertical ofrece una mayor altura de levantamiento y alcance en el tope de la elevación para obtener mayor estabilidad y capacidad de carga de camiones.
Una puerta trasera desplegable permite un acceso fácil al nivel del suelo a los puntos de control de servicio diarios y a los componentes del sistema de refrigeración.","Capacidad de operación nominal: 883 kg (1945 lb.)
Potencia Bruta: 44 kW (60 CV) a 2600 rpm",,,,✓,
,,MINI CARGADORES RUEDAS,320G,,,,SI,,320G,"Con capacidades de carga desde 750 kg hasta 1.2 toneladas y una infinidad de aditamentos, los minicargadores John Deere no son solo una máquina, son tu mejor herramienta en obra. Están diseñados para adaptarse a cualquier terreno y ofrecer versatilidad y rendimiento en cada proyecto.","Capacidad de operación nominal: 994 kg (2,190 lb.)
Potencia Bruta: 51,7 kW (69 CV) a 2.500 rpm
Potencia Neta: 49,4 kW (66 CV) a 2.500 rpm
Peso Operativo: 3246 kg (7.150 lb.)",,,,✓,
,,MINI CARGADORES RUEDAS,324G,SI ,SI ,SI ,SI ,SI ,324G,"Con capacidades de carga desde 750 kg hasta 1.2 toneladas y una infinidad de aditamentos, los minicargadores John Deere no son solo una máquina, son tu mejor herramienta en obra. Están diseñados para adaptarse a cualquier terreno y ofrecer versatilidad y rendimiento en cada proyecto.","Capacidad de operación nominal: 1221 kg (2,690 lb.)
Potencia Bruta: 55,0 kW (74 CV) a 2.500 rpm
Potencia Neta: 52,7 kW (71 CV) a 2.500 rpm
Peso Operativo: 3496 kg (7.700 lb.)",,,,✓,
,,MINI CARGADORES ORUGAS,325G,SI,SI,SI,SI,SI ,325G,"Con capacidades de carga desde 750 kg hasta 1.2 toneladas y una infinidad de aditamentos, los minicargadores John Deere no son solo una máquina, son tu mejor herramienta en obra. Están diseñados para adaptarse a cualquier terreno y ofrecer versatilidad y rendimiento en cada proyecto.","Capacidad de operación nominal: 1176 kg (2,590 lb.)
Potencia Bruta: 55,0 kW (74 CV) a 2.500 rpm
Potencia neta: 52,7 kW (71 CV) a 2.500 rpm
Peso operativo: 4313 kg (9.500 lb.)",,,,✓,
